Player,Team,Position,GW,Predicted Points
Rak-Sakyi,CRY,MID,24,0.0
Rak-Sakyi,CRY,MID,25,0.0
Rak-Sakyi,CRY,MID,26,0.0
Bazunu,SOU,GK,21,0.0
Bazunu,SOU,GK,22,0.0
Bazunu,SOU,GK,23,0.0
Bazunu,SOU,GK,24,0.0
Bazunu,SOU,GK,25,3.6
Bazunu,SOU,GK,26,3.5
Petrović,CHE,GK,21,0.0
Petrović,CHE,GK,22,0.0
Petrović,CHE,GK,23,0.0
Petrović,CHE,GK,24,0.0
Petrović,CHE,GK,25,0.0
Petrović,CHE,GK,26,0.0
Cannon,LEI,FWD,21,0.0
Cannon,LEI,FWD,22,0.0
Cannon,LEI,FWD,23,0.0
Cannon,LEI,FWD,24,0.0
Cannon,LEI,FWD,25,0.0
Cannon,LEI,FWD,26,0.0
Dobbin,AVL,MID,21,0.0
Dobbin,AVL,MID,22,0.0
Dobbin,AVL,MID,23,0.0
Dobbin,AVL,MID,24,0.0
Dobbin,AVL,MID,25,0.0
Dobbin,AVL,MID,26,0.0
White,NEW,MID,21,0.0
White,NEW,MID,22,0.0
White,NEW,MID,23,0.0
White,NEW,MID,24,0.0
White,NEW,MID,25,0.0
White,NEW,MID,26,0.0
Marcal,LEI,MID,21,0.0
Marcal,LEI,MID,22,0.0
Marcal,LEI,MID,23,0.0
Marcal,LEI,MID,24,0.0
Marcal,LEI,MID,25,0.0
Marcal,LEI,MID,26,0.0
Marschall,AVL,GK,21,0.0
Marschall,AVL,GK,22,0.0
Marschall,AVL,GK,23,0.0
Marschall,AVL,GK,24,0.0
Marschall,AVL,GK,25,0.0
Marschall,AVL,GK,26,0.0
Charles,SOU,MID,21,0.0
Charles,SOU,MID,22,0.0
Charles,SOU,MID,23,0.0
Charles,SOU,MID,24,0.0
Charles,SOU,MID,25,0.0
Charles,SOU,MID,26,0.0
Hein,ARS,GK,21,0.0
Hein,ARS,GK,22,0.0
Hein,ARS,GK,23,0.0
Hein,ARS,GK,24,0.0
Hein,ARS,GK,25,0.0
Hein,ARS,GK,26,0.0
Kesler-Hayden,AVL,DEF,21,0.0
Kesler-Hayden,AVL,DEF,22,0.0
Kesler-Hayden,AVL,DEF,23,0.0
Kesler-Hayden,AVL,DEF,24,0.0
Kesler-Hayden,AVL,DEF,25,0.0
Kesler-Hayden,AVL,DEF,26,0.0
Hannibal,MUN,MID,21,0.0
Hannibal,MUN,MID,22,0.0
Hannibal,MUN,MID,23,0.0
Hannibal,MUN,MID,24,0.0
Hannibal,MUN,MID,25,0.0
Hannibal,MUN,MID,26,0.0
Ahamada,CRY,MID,21,0.0
Ahamada,CRY,MID,22,0.0
Ahamada,CRY,MID,23,0.0
Ahamada,CRY,MID,24,0.0
Ahamada,CRY,MID,25,0.0
Ahamada,CRY,MID,26,0.0
Hermansen,LEI,GK,21,0.0
Hermansen,LEI,GK,22,0.0
Hermansen,LEI,GK,23,0.0
Hermansen,LEI,GK,24,0.0
Hermansen,LEI,GK,25,0.0
Hermansen,LEI,GK,26,0.0
Iling Jr,AVL,MID,21,0.0
Iling Jr,AVL,MID,22,0.0
Iling Jr,AVL,MID,23,0.0
Iling Jr,AVL,MID,24,0.0
Iling Jr,AVL,MID,25,0.0
Iling Jr,AVL,MID,26,0.0
Hickey,BRE,DEF,21,0.0
Hickey,BRE,DEF,22,0.0
Hickey,BRE,DEF,23,0.0
Hickey,BRE,DEF,24,0.0
Hickey,BRE,DEF,25,0.0
Hickey,BRE,DEF,26,0.0
Rushworth,BHA,GK,21,0.0
Rushworth,BHA,GK,22,0.0
Rushworth,BHA,GK,23,0.0
Rushworth,BHA,GK,24,0.0
Rushworth,BHA,GK,25,0.0
Rushworth,BHA,GK,26,0.0
Baker-Boaitey,BHA,MID,21,0.0
Baker-Boaitey,BHA,MID,22,0.0
Baker-Boaitey,BHA,MID,23,0.0
Baker-Boaitey,BHA,MID,24,0.0
Baker-Boaitey,BHA,MID,25,0.0
Baker-Boaitey,BHA,MID,26,0.0
Kaboré,MCI,DEF,21,0.0
Kaboré,MCI,DEF,22,0.0
Kaboré,MCI,DEF,23,0.0
Kaboré,MCI,DEF,24,0.0
Kaboré,MCI,DEF,25,0.0
Kaboré,MCI,DEF,26,0.0
B.Traore,WOL,MID,21,0.0
B.Traore,WOL,MID,22,0.0
B.Traore,WOL,MID,23,0.0
B.Traore,WOL,MID,24,0.0
B.Traore,WOL,MID,25,0.0
B.Traore,WOL,MID,26,0.0
Bobb,MCI,MID,21,0.0
Bobb,MCI,MID,22,0.0
Bobb,MCI,MID,23,0.0
Bobb,MCI,MID,24,0.0
Bobb,MCI,MID,25,0.0
Bobb,MCI,MID,26,0.0
Kozlowski,BHA,MID,21,0.0
Kozlowski,BHA,MID,22,0.0
Kozlowski,BHA,MID,23,0.0
Kozlowski,BHA,MID,24,0.0
Kozlowski,BHA,MID,25,0.0
Kozlowski,BHA,MID,26,0.0
Udogie,TOT,DEF,21,0.0
Udogie,TOT,DEF,22,0.0
Udogie,TOT,DEF,23,0.0
Udogie,TOT,DEF,24,0.0
Udogie,TOT,DEF,25,2.6
Udogie,TOT,DEF,26,2.7
Ferguson,BHA,FWD,21,0.0
Ferguson,BHA,FWD,22,0.0
Ferguson,BHA,FWD,23,0.0
Ferguson,BHA,FWD,24,0.0
Ferguson,BHA,FWD,25,0.0
Ferguson,BHA,FWD,26,0.0
Wiley,CHE,DEF,21,0.0
Wiley,CHE,DEF,22,0.0
Wiley,CHE,DEF,23,0.0
Wiley,CHE,DEF,24,0.0
Wiley,CHE,DEF,25,0.0
Wiley,CHE,DEF,26,0.0
Iroegbunam,EVE,MID,21,0.0
Iroegbunam,EVE,MID,22,0.0
Iroegbunam,EVE,MID,23,0.0
Iroegbunam,EVE,MID,24,0.0
Iroegbunam,EVE,MID,25,0.0
Iroegbunam,EVE,MID,26,0.0
Scarlett,TOT,FWD,21,0.0
Scarlett,TOT,FWD,22,0.0
Scarlett,TOT,FWD,23,0.0
Scarlett,TOT,FWD,24,0.0
Scarlett,TOT,FWD,25,0.0
Scarlett,TOT,FWD,26,0.0
Edozie,SOU,MID,21,0.0
Edozie,SOU,MID,22,0.0
Edozie,SOU,MID,23,0.0
Edozie,SOU,MID,24,0.0
Edozie,SOU,MID,25,0.0
Edozie,SOU,MID,26,0.0
H.Bueno,WOL,DEF,21,0.0
H.Bueno,WOL,DEF,22,0.0
H.Bueno,WOL,DEF,23,0.0
H.Bueno,WOL,DEF,24,0.0
H.Bueno,WOL,DEF,25,0.0
H.Bueno,WOL,DEF,26,0.0
Earthy,WHU,MID,21,0.0
Earthy,WHU,MID,22,0.0
Earthy,WHU,MID,23,0.0
Earthy,WHU,MID,24,0.0
Earthy,WHU,MID,25,0.0
Earthy,WHU,MID,26,0.0
Van de Ven,TOT,DEF,21,0.0
Van de Ven,TOT,DEF,22,2.6
Van de Ven,TOT,DEF,23,2.6
Van de Ven,TOT,DEF,24,3.0
Van de Ven,TOT,DEF,25,2.5
Van de Ven,TOT,DEF,26,2.5
Barrenechea,AVL,MID,21,0.0
Barrenechea,AVL,MID,22,0.0
Barrenechea,AVL,MID,23,0.0
Barrenechea,AVL,MID,24,0.0
Barrenechea,AVL,MID,25,0.0
Barrenechea,AVL,MID,26,0.0
Metcalfe,EVE,MID,21,0.0
Metcalfe,EVE,MID,22,0.0
Metcalfe,EVE,MID,23,0.0
Metcalfe,EVE,MID,24,0.0
Metcalfe,EVE,MID,25,0.0
Metcalfe,EVE,MID,26,0.0
Paulsen,BOU,GK,21,0.0
Paulsen,BOU,GK,22,0.0
Paulsen,BOU,GK,23,0.0
Paulsen,BOU,GK,24,0.0
Paulsen,BOU,GK,25,0.0
Paulsen,BOU,GK,26,0.0
Devine,TOT,MID,21,0.0
Devine,TOT,MID,22,0.0
Devine,TOT,MID,23,0.0
Devine,TOT,MID,24,0.0
Devine,TOT,MID,25,0.0
Devine,TOT,MID,26,0.0
Doak,LIV,MID,21,0.0
Doak,LIV,MID,22,0.0
Doak,LIV,MID,23,0.0
Doak,LIV,MID,24,0.0
Doak,LIV,MID,25,0.0
Doak,LIV,MID,26,0.0
Chirewa,WOL,MID,21,0.0
Chirewa,WOL,MID,22,0.0
Chirewa,WOL,MID,23,0.0
Chirewa,WOL,MID,24,0.0
Chirewa,WOL,MID,25,0.0
Chirewa,WOL,MID,26,0.0
Nelson,LEI,DEF,21,0.0
Nelson,LEI,DEF,22,0.0
Nelson,LEI,DEF,23,0.0
Nelson,LEI,DEF,24,0.0
Nelson,LEI,DEF,25,0.0
Nelson,LEI,DEF,26,0.0
Mosquera,WOL,DEF,21,0.0
Mosquera,WOL,DEF,22,0.0
Mosquera,WOL,DEF,23,0.0
Mosquera,WOL,DEF,24,0.0
Mosquera,WOL,DEF,25,0.0
Mosquera,WOL,DEF,26,0.0
Thiago,BRE,FWD,21,0.0
Thiago,BRE,FWD,22,0.0
Thiago,BRE,FWD,23,0.0
Thiago,BRE,FWD,24,0.0
Thiago,BRE,FWD,25,0.0
Thiago,BRE,FWD,26,0.0
Alcaraz,SOU,MID,21,0.0
Alcaraz,SOU,MID,22,0.0
Alcaraz,SOU,MID,23,0.0
Alcaraz,SOU,MID,24,0.0
Alcaraz,SOU,MID,25,0.0
Alcaraz,SOU,MID,26,0.0
Scott,BOU,MID,21,0.0
Scott,BOU,MID,22,0.0
Scott,BOU,MID,23,0.0
Scott,BOU,MID,24,0.0
Scott,BOU,MID,25,0.0
Scott,BOU,MID,26,0.0
Hutchinson,IPS,MID,21,0.0
Hutchinson,IPS,MID,22,0.0
Hutchinson,IPS,MID,23,2.3
Hutchinson,IPS,MID,24,2.7
Hutchinson,IPS,MID,25,2.4
Hutchinson,IPS,MID,26,2.6
Chiquinho,WOL,MID,21,0.0
Chiquinho,WOL,MID,22,0.0
Chiquinho,WOL,MID,23,0.0
Chiquinho,WOL,MID,24,0.0
Chiquinho,WOL,MID,25,0.0
Chiquinho,WOL,MID,26,0.0
Moran,BHA,MID,21,0.0
Moran,BHA,MID,22,0.0
Moran,BHA,MID,23,0.0
Moran,BHA,MID,24,0.0
Moran,BHA,MID,25,0.0
Moran,BHA,MID,26,0.0
Gilchrist,CHE,DEF,21,0.0
Gilchrist,CHE,DEF,22,0.0
Gilchrist,CHE,DEF,23,0.0
Gilchrist,CHE,DEF,24,0.0
Gilchrist,CHE,DEF,25,0.0
Gilchrist,CHE,DEF,26,0.0
Sousa,AVL,DEF,21,0.0
Sousa,AVL,DEF,22,0.0
Sousa,AVL,DEF,23,0.0
Sousa,AVL,DEF,24,0.0
Sousa,AVL,DEF,25,0.0
Sousa,AVL,DEF,26,0.0
Harris,FUL,MID,21,0.0
Harris,FUL,MID,22,0.0
Harris,FUL,MID,23,0.0
Harris,FUL,MID,24,0.0
Harris,FUL,MID,25,0.0
Harris,FUL,MID,26,0.0
Larios,SOU,DEF,21,0.0
Larios,SOU,DEF,22,0.0
Larios,SOU,DEF,23,0.0
Larios,SOU,DEF,24,0.0
Larios,SOU,DEF,25,0.0
Larios,SOU,DEF,26,0.0
Baggott,IPS,DEF,21,0.0
Baggott,IPS,DEF,22,0.0
Baggott,IPS,DEF,23,0.0
Baggott,IPS,DEF,24,0.0
Baggott,IPS,DEF,25,0.0
Baggott,IPS,DEF,26,0.0
Cozier-Duberry,BHA,MID,21,0.0
Cozier-Duberry,BHA,MID,22,0.0
Cozier-Duberry,BHA,MID,23,0.0
Cozier-Duberry,BHA,MID,24,0.0
Cozier-Duberry,BHA,MID,25,0.0
Cozier-Duberry,BHA,MID,26,0.0
Jebbison,BOU,FWD,21,0.0
Jebbison,BOU,FWD,22,0.0
Jebbison,BOU,FWD,23,0.0
Jebbison,BOU,FWD,24,0.0
Jebbison,BOU,FWD,25,0.0
Jebbison,BOU,FWD,26,0.0
Humphreys,IPS,MID,21,0.0
Humphreys,IPS,MID,22,0.0
Humphreys,IPS,MID,23,0.0
Humphreys,IPS,MID,24,0.0
Humphreys,IPS,MID,25,0.0
Humphreys,IPS,MID,26,0.0
Fraser,WOL,FWD,21,0.0
Fraser,WOL,FWD,22,0.0
Fraser,WOL,FWD,23,0.0
Fraser,WOL,FWD,24,0.0
Fraser,WOL,FWD,25,0.0
Fraser,WOL,FWD,26,0.0
A.Fatawu,LEI,MID,21,0.0
A.Fatawu,LEI,MID,22,0.0
A.Fatawu,LEI,MID,23,0.0
A.Fatawu,LEI,MID,24,0.0
A.Fatawu,LEI,MID,25,0.0
A.Fatawu,LEI,MID,26,0.0
Ozoh,CRY,MID,21,0.0
Ozoh,CRY,MID,22,0.0
Ozoh,CRY,MID,23,0.0
Ozoh,CRY,MID,24,0.0
Ozoh,CRY,MID,25,0.0
Ozoh,CRY,MID,26,0.0
Andrey Santos,CHE,MID,21,0.0
Andrey Santos,CHE,MID,22,0.0
Andrey Santos,CHE,MID,23,0.0
Andrey Santos,CHE,MID,24,0.0
Andrey Santos,CHE,MID,25,0.0
Andrey Santos,CHE,MID,26,0.0
Bajcetic,LIV,MID,21,0.0
Bajcetic,LIV,MID,22,0.0
Bajcetic,LIV,MID,23,0.0
Bajcetic,LIV,MID,24,0.0
Bajcetic,LIV,MID,25,0.0
Bajcetic,LIV,MID,26,0.0
Veliz,TOT,FWD,21,0.0
Veliz,TOT,FWD,22,0.0
Veliz,TOT,FWD,23,0.0
Veliz,TOT,FWD,24,0.0
Veliz,TOT,FWD,25,0.0
Veliz,TOT,FWD,26,0.0
Barco,BHA,DEF,21,0.0
Barco,BHA,DEF,22,0.0
Barco,BHA,DEF,23,0.0
Barco,BHA,DEF,24,0.0
Barco,BHA,DEF,25,0.0
Barco,BHA,DEF,26,0.0
A.Phillips,TOT,DEF,21,0.0
A.Phillips,TOT,DEF,22,0.0
A.Phillips,TOT,DEF,23,0.0
A.Phillips,TOT,DEF,24,0.0
A.Phillips,TOT,DEF,25,0.0
A.Phillips,TOT,DEF,26,0.0
Kellyman,CHE,MID,21,0.0
Kellyman,CHE,MID,22,0.0
Kellyman,CHE,MID,23,0.0
Kellyman,CHE,MID,24,0.0
Kellyman,CHE,MID,25,0.0
Kellyman,CHE,MID,26,0.0
Mazilu,BHA,MID,21,0.0
Mazilu,BHA,MID,22,0.0
Mazilu,BHA,MID,23,0.0
Mazilu,BHA,MID,24,0.0
Mazilu,BHA,MID,25,0.0
Mazilu,BHA,MID,26,0.0
Odobert,TOT,MID,21,0.0
Odobert,TOT,MID,22,0.0
Odobert,TOT,MID,23,0.0
Odobert,TOT,MID,24,0.0
Odobert,TOT,MID,25,0.0
Odobert,TOT,MID,26,0.0
O’Mahony,BHA,FWD,21,0.0
O’Mahony,BHA,FWD,22,0.0
O’Mahony,BHA,FWD,23,0.0
O’Mahony,BHA,FWD,24,0.0
O’Mahony,BHA,FWD,25,0.0
O’Mahony,BHA,FWD,26,0.0
Pivas,NEW,DEF,21,0.0
Pivas,NEW,DEF,22,0.0
Pivas,NEW,DEF,23,0.0
Pivas,NEW,DEF,24,0.0
Pivas,NEW,DEF,25,0.0
Pivas,NEW,DEF,26,0.0
Gonzalez,WOL,MID,21,0.0
Gonzalez,WOL,MID,22,0.0
Gonzalez,WOL,MID,23,0.0
Gonzalez,WOL,MID,24,0.0
Gonzalez,WOL,MID,25,0.0
Gonzalez,WOL,MID,26,0.0
I.Osman,BHA,MID,21,0.0
I.Osman,BHA,MID,22,0.0
I.Osman,BHA,MID,23,0.0
I.Osman,BHA,MID,24,0.0
I.Osman,BHA,MID,25,0.0
I.Osman,BHA,MID,26,0.0
G.Nunes,BRE,MID,21,0.0
G.Nunes,BRE,MID,22,0.0
G.Nunes,BRE,MID,23,0.0
G.Nunes,BRE,MID,24,0.0
G.Nunes,BRE,MID,25,0.0
G.Nunes,BRE,MID,26,0.0
Maupay,EVE,FWD,21,0.0
Maupay,EVE,FWD,22,0.0
Maupay,EVE,FWD,23,0.0
Maupay,EVE,FWD,24,0.0
Maupay,EVE,FWD,25,0.0
Maupay,EVE,FWD,26,0.0
Mbabu,FUL,DEF,21,0.0
Mbabu,FUL,DEF,22,0.0
Mbabu,FUL,DEF,23,0.0
Mbabu,FUL,DEF,24,0.0
Mbabu,FUL,DEF,25,0.0
Mbabu,FUL,DEF,26,0.0
Toney,BRE,FWD,21,0.0
Toney,BRE,FWD,22,0.0
Toney,BRE,FWD,23,0.0
Toney,BRE,FWD,24,0.0
Toney,BRE,FWD,25,0.0
Toney,BRE,FWD,26,0.0
Dahoud,BHA,MID,21,0.0
Dahoud,BHA,MID,22,0.0
Dahoud,BHA,MID,23,0.0
Dahoud,BHA,MID,24,0.0
Dahoud,BHA,MID,25,0.0
Dahoud,BHA,MID,26,0.0
McTominay,MUN,MID,21,0.0
McTominay,MUN,MID,22,0.0
McTominay,MUN,MID,23,0.0
McTominay,MUN,MID,24,0.0
McTominay,MUN,MID,25,0.0
McTominay,MUN,MID,26,0.0
Lis,SOU,GK,21,0.0
Lis,SOU,GK,22,0.0
Lis,SOU,GK,23,0.0
Lis,SOU,GK,24,0.0
Lis,SOU,GK,25,0.0
Lis,SOU,GK,26,0.0
Podence,WOL,MID,21,0.0
Podence,WOL,MID,22,0.0
Podence,WOL,MID,23,0.0
Podence,WOL,MID,24,0.0
Podence,WOL,MID,25,0.0
Podence,WOL,MID,26,0.0
Lo Celso,TOT,MID,21,0.0
Lo Celso,TOT,MID,22,0.0
Lo Celso,TOT,MID,23,0.0
Lo Celso,TOT,MID,24,0.0
Lo Celso,TOT,MID,25,0.0
Lo Celso,TOT,MID,26,0.0
Ui-jo,NFO,FWD,21,0.0
Ui-jo,NFO,FWD,22,0.0
Ui-jo,NFO,FWD,23,0.0
Ui-jo,NFO,FWD,24,0.0
Ui-jo,NFO,FWD,25,0.0
Ui-jo,NFO,FWD,26,0.0
Worrall,NFO,DEF,21,0.0
Worrall,NFO,DEF,22,0.0
Worrall,NFO,DEF,23,0.0
Worrall,NFO,DEF,24,0.0
Worrall,NFO,DEF,25,0.0
Worrall,NFO,DEF,26,0.0
Gallagher,CHE,MID,21,0.0
Gallagher,CHE,MID,22,0.0
Gallagher,CHE,MID,23,0.0
Gallagher,CHE,MID,24,0.0
Gallagher,CHE,MID,25,0.0
Gallagher,CHE,MID,26,0.0
E.Royal,TOT,DEF,21,0.0
E.Royal,TOT,DEF,22,0.0
E.Royal,TOT,DEF,23,0.0
E.Royal,TOT,DEF,24,0.0
E.Royal,TOT,DEF,25,0.0
E.Royal,TOT,DEF,26,0.0
Gilmour,BHA,MID,21,0.0
Gilmour,BHA,MID,22,0.0
Gilmour,BHA,MID,23,0.0
Gilmour,BHA,MID,24,0.0
Gilmour,BHA,MID,25,0.0
Gilmour,BHA,MID,26,0.0
Undav,BHA,FWD,21,0.0
Undav,BHA,FWD,22,0.0
Undav,BHA,FWD,23,0.0
Undav,BHA,FWD,24,0.0
Undav,BHA,FWD,25,0.0
Undav,BHA,FWD,26,0.0
J.Alvarez,MCI,FWD,21,0.0
J.Alvarez,MCI,FWD,22,0.0
J.Alvarez,MCI,FWD,23,0.0
J.Alvarez,MCI,FWD,24,0.0
J.Alvarez,MCI,FWD,25,0.0
J.Alvarez,MCI,FWD,26,0.0
Mara,SOU,FWD,21,0.0
Mara,SOU,FWD,22,0.0
Mara,SOU,FWD,23,0.0
Mara,SOU,FWD,24,0.0
Mara,SOU,FWD,25,0.0
Mara,SOU,FWD,26,0.0
Pellistri,MUN,MID,21,0.0
Pellistri,MUN,MID,22,0.0
Pellistri,MUN,MID,23,0.0
Pellistri,MUN,MID,24,0.0
Pellistri,MUN,MID,25,0.0
Pellistri,MUN,MID,26,0.0
Stansfield,FUL,FWD,21,0.0
Stansfield,FUL,FWD,22,0.0
Stansfield,FUL,FWD,23,0.0
Stansfield,FUL,FWD,24,0.0
Stansfield,FUL,FWD,25,0.0
Stansfield,FUL,FWD,26,0.0
Clark,LIV,MID,21,0.0
Clark,LIV,MID,22,0.0
Clark,LIV,MID,23,0.0
Clark,LIV,MID,24,0.0
Clark,LIV,MID,25,0.0
Clark,LIV,MID,26,0.0
Ângelo,CHE,MID,21,0.0
Ângelo,CHE,MID,22,0.0
Ângelo,CHE,MID,23,0.0
Ângelo,CHE,MID,24,0.0
Ângelo,CHE,MID,25,0.0
Ângelo,CHE,MID,26,0.0
D.D.Fofana,CHE,FWD,21,0.0
D.D.Fofana,CHE,FWD,22,0.0
D.D.Fofana,CHE,FWD,23,0.0
D.D.Fofana,CHE,FWD,24,0.0
D.D.Fofana,CHE,FWD,25,0.0
D.D.Fofana,CHE,FWD,26,0.0
