Player,Team ID,Position,Cost (£),Selected (%),Form,Points
Cornet,17,3,4.7,0.0,0.0,1
Downes,17,3,4.8,0.0,2.2,28
Brereton Díaz,17,3,4.9,0.2,0.6,13
Dibling,17,3,4.5,2.3,1.4,28
M.Fernandes,17,3,5.0,0.0,2.8,34
O'Brien-Whitmarsh,17,3,4.5,0.0,0.0,0
Solanke,18,4,7.5,8.6,3.6,61
A.Phillips,18,2,4.0,0.2,0.0,0
Austin,18,1,4.0,0.5,0.0,0
Bentancur,18,3,4.9,0.1,0.0,19
Bergvall,18,3,4.4,0.8,1.2,11
Bissouma,18,3,4.9,0.3,1.2,31
Bryan,18,3,5.0,0.0,0.0,0
Davies,18,2,4.3,0.2,1.8,10
Devine,18,3,4.5,0.1,0.0,0
Dragusin,18,2,4.3,0.4,3.2,21
E.Royal,18,2,4.5,0.0,0.0,0
Forster,18,1,4.3,0.7,3.0,15
Gray,18,3,4.6,0.1,1.4,12
Højbjerg,18,3,5.0,0.0,0.0,0
Johnson,18,3,6.6,8.0,4.4,71
Kulusevski,18,3,6.3,4.2,4.8,65
Lo Celso,18,3,4.9,0.0,0.0,0
Maddison,18,3,7.6,7.8,7.8,91
Pedro Porro,18,2,5.6,29.3,5.2,61
Reguilón,18,2,4.2,0.2,0.0,0
Richarlison,18,4,6.8,0.3,0.0,7
Romero,18,2,5.0,4.6,0.2,35
P.M.Sarr,18,3,4.8,0.2,3.0,34
Scarlett,18,4,4.5,0.1,0.0,0
Solomon,18,3,5.4,0.0,0.0,0
Son,18,3,9.8,5.1,6.0,77
Spence,18,2,4.4,0.1,2.0,12
Udogie,18,2,4.9,2.9,2.2,34
Van de Ven,18,2,4.5,3.4,0.2,28
Veliz,18,4,5.0,0.0,0.0,0
Vicario,18,1,4.9,2.1,1.6,37
Werner,18,3,6.2,0.2,2.8,28
Whiteman,18,1,4.0,1.3,0.0,0
Lankshear,18,4,4.5,1.7,0.4,2
Moore,18,3,4.5,0.2,0.0,5
Odobert,18,3,5.3,0.0,0.0,6
Olusesi,18,3,4.5,0.0,0.0,0
Hardy,18,2,4.0,0.0,0.0,0
Williams-Barnett,18,3,4.5,0.0,0.0,0
Dorrington,18,2,4.0,0.0,1.0,1
King,18,2,4.0,0.0,0.0,0
Wan-Bissaka,19,2,4.6,6.4,5.8,47
Álvarez,19,3,5.0,0.1,1.2,12
Antonio,19,4,5.4,1.3,1.0,42
Areola,19,1,4.2,4.5,0.0,15
Bowen,19,3,7.4,6.9,5.0,75
Coufal,19,2,4.2,0.5,0.8,13
Cresswell,19,2,3.9,1.5,0.2,4
Earthy,19,3,4.5,0.0,0.0,0
Emerson,19,2,4.4,0.9,3.2,35
Fabianski,19,1,4.1,20.0,2.6,28
Foderingham,19,1,4.3,0.1,0.0,0
Ings,19,4,5.0,1.5,0.8,23
Kilman,19,2,4.5,1.8,2.2,38
Kudus,19,3,6.2,2.5,2.4,35
L.Guilherme,19,3,4.7,0.0,0.0,2
L.Paquetá,19,3,5.7,1.2,4.0,49
Mavropanos,19,2,4.4,0.1,1.2,22
N.Aguerd,19,2,4.4,0.0,0.0,0
Souček,19,3,4.9,2.1,4.8,56
Zouma,19,2,4.4,0.2,0.0,0
Irving,19,3,4.8,0.0,0.4,4
Summerville,19,3,5.7,0.4,2.0,28
G.Rodríguez,19,3,4.8,0.1,0.4,21
Füllkrug,19,4,6.7,0.9,1.4,10
Todibo,19,2,4.3,0.3,0.4,16
Casey,19,2,4.0,0.2,0.2,1
C.Soler,19,3,5.0,0.0,2.4,17
Scarles,19,2,4.0,0.0,0.2,1
Mayers,19,2,4.0,0.0,0.0,0
Orford,19,3,4.5,0.0,0.0,0
Johnstone,20,1,4.3,0.4,0.4,12
Aït-Nouri,20,2,4.8,10.2,0.8,40
B.Traore,20,3,4.8,0.0,0.0,0
Bellegarde,20,3,5.0,0.1,2.0,32
Bentley,20,1,4.0,1.5,0.0,0
Chiquinho,20,3,4.5,0.1,0.0,1
Chirewa,20,3,4.5,0.0,0.0,0
Chiwome,20,4,4.5,2.3,0.0,0
Cundle,20,3,4.5,0.2,0.0,0
Cunha,20,4,7.1,23.7,6.0,89
Dawson,20,2,4.4,0.2,-0.8,14
Doherty,20,2,4.3,0.2,1.4,10
Doyle,20,3,4.8,0.0,0.8,17
Fábio Silva,20,4,5.0,0.1,0.0,0
Fraser,20,4,4.5,1.5,0.0,0
Gonzalez,20,3,4.4,0.0,0.0,0
Guedes,20,3,5.3,0.1,3.2,26
H.Bueno,20,2,4.5,0.0,0.0,0
Hee Chan,20,3,6.1,0.3,0.8,11
Hodge,20,3,4.5,0.2,0.0,0
Hoever,20,2,4.0,0.1,0.0,0
J.Gomes,20,3,4.9,0.6,3.4,43
José Sá,20,1,4.3,1.5,0.4,15
Kalajdžić,20,4,4.8,0.0,0.0,0
King,20,1,4.0,1.5,0.0,0
Mario Jr.,20,3,5.0,0.4,2.4,46
Mosquera,20,2,3.9,0.5,0.0,3
N.Semedo,20,2,4.5,0.3,0.6,20
Pedro Lima,20,2,3.9,1.3,0.0,0
Podence,20,3,5.5,0.0,0.0,2
R.Gomes,20,3,5.2,0.1,1.0,11
S.Bueno,20,2,4.3,0.1,0.4,12
Sarabia,20,3,5.1,0.1,0.0,10
Strand Larsen,20,4,5.7,4.5,4.4,67
Toti,20,2,4.3,0.3,1.2,20
Meupiyou,20,2,4.0,0.1,0.0,0
André,20,3,5.0,0.0,1.8,17
Forbs,20,3,5.5,0.0,0.2,5
Pond,20,2,3.9,0.7,0.2,1
Edozie,20,3,4.5,0.0,0.0,0
